#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: glue.broadcastBufferSize
#  Description: Broadcast buffer size
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: +infinity
#  Maximum: -infinity
#  Trials: 0
#  Mean: 0.0000000
# 
#  Variance: 0.0000000
#  Relative variance: 0.0000000
#  Coefficient of variation: 0.0000000
#  Standard deviation: 0.0000000
#  Relative standard deviation: 0.0000000
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 0.0000000
#  3rd moment: 0.0000000
# 
#  Sum of all values: 0.0000000
#  (Sum of all values)^2: 0.0000000
#  (Sum of all values)^3: 0.0000000
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 1
#  Resolution of x-axis: 20
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.0000000
#  P05: 0.0000000
#  P50: 0.0000000
#  P95: 0.0000000
#  P99: 0.0000000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       0.0000000       0.0000000     0
0.0500000           0.0000000       0.0000000       0.0000000     1
0.1000000           0.0000000       0.0000000       0.0000000     2
0.1500000           0.0000000       0.0000000       0.0000000     3
0.2000000           0.0000000       0.0000000       0.0000000     4
0.2500000           0.0000000       0.0000000       0.0000000     5
0.3000000           0.0000000       0.0000000       0.0000000     6
0.3500000           0.0000000       0.0000000       0.0000000     7
0.4000000           0.0000000       0.0000000       0.0000000     8
0.4500000           0.0000000       0.0000000       0.0000000     9
0.5000000           0.0000000       0.0000000       0.0000000    10
0.5500000           0.0000000       0.0000000       0.0000000    11
0.6000000           0.0000000       0.0000000       0.0000000    12
0.6500000           0.0000000       0.0000000       0.0000000    13
0.7000000           0.0000000       0.0000000       0.0000000    14
0.7500000           0.0000000       0.0000000       0.0000000    15
0.8000000           0.0000000       0.0000000       0.0000000    16
0.8500000           0.0000000       0.0000000       0.0000000    17
0.9000000           0.0000000       0.0000000       0.0000000    18
0.9500000           0.0000000       0.0000000       0.0000000    19
1.0000000           0.0000000       0.0000000       0.0000000    20
# -----------------------------------------------------------
